Limited Liability Partnerships,Year,Country,ONS-code,Value
On register at start of period,2010,England and Wales,E92000001,38422.0
  Incorporations,2010,England and Wales,E92000001,9513.0
  Dissolved,2010,England and Wales,E92000001,5091.0
  Restored to the register,2010,England and Wales,E92000001,101.0
On register at end of period,2010,England and Wales,E92000001,42945.0
      in liquidation,2010,England and Wales,E92000001,332.0
                    in course of dissolution,2010,England and Wales,E92000001,2131.0
Effective numbers on register at end of period,2010,England and Wales,E92000001,40482.0
On register at start of period,2010,Scotland,S92000003,2162.0
  Incorporations,2010,Scotland,S92000003,501.0
  Dissolved,2010,Scotland,S92000003,301.0
  Restored to the register,2010,Scotland,S92000003,1.0
On register at end of period,2010,Scotland,S92000003,2363.0
      in liquidation,2010,Scotland,S92000003,10.0
                    in course of dissolution,2010,Scotland,S92000003,107.0
Effective numbers on register at end of period,2010,Scotland,S92000003,2246.0
On register at start of period,2010,Northern Ireland,N92000002,590.0
  Incorporations,2010,Northern Ireland,N92000002,131.0
  Dissolved,2010,Northern Ireland,N92000002,97.0
  Restored to the register,2010,Northern Ireland,N92000002,0.0
On register at end of period,2010,Northern Ireland,N92000002,624.0
      in liquidation,2010,Northern Ireland,N92000002,11.0
                    in course of dissolution,2010,Northern Ireland,N92000002,100.0
Effective numbers on register at end of period,2010,Northern Ireland,N92000002,513.0
On register at start of period,2010,United Kingdom,K02000001,41174.0
  Incorporations,2010,United Kingdom,K02000001,10145.0
  Dissolved,2010,United Kingdom,K02000001,5489.0
  Restored to the register,2010,United Kingdom,K02000001,102.0
On register at end of period,2010,United Kingdom,K02000001,45932.0
      in liquidation,2010,United Kingdom,K02000001,353.0
                    in course of dissolution,2010,United Kingdom,K02000001,2338.0
Effective numbers on register at end of period,2010,United Kingdom,K02000001,43241.0
On register at start of period,2012,England and Wales,E92000001,49000.0
  Incorporations,2012,England and Wales,E92000001,9893.0
  Dissolved,2012,England and Wales,E92000001,5529.0
  Restored to the register,2012,England and Wales,E92000001,108.0
On register at end of period,2012,England and Wales,E92000001,53472.0
      in liquidation,2012,England and Wales,E92000001,506.0
                    in course of dissolution,2012,England and Wales,E92000001,2666.0
